indicator_code,indicator_name,country_code,country_name,year,value,source,collection_time,collection_date,collector_class
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2005,6567654954.38903,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2004,6190270380.49856,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2003,5349258094.48239,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2002,4194342686.2178,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2001,3666222635.13875,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,2000,3519991440.47913,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1999,3677393998.74486,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1998,2455092686.34712,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1997,2268301646.46707,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1996,2361116449.39308,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1995,2169627137.9207,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1994,1598075943.86774,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1993,2274558082.76135,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1992,1695315305.70308,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1991,1986437796.53053,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1990,1959965330.14765,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1989,1502294416.17129,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1988,1620246083.79478,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1987,1562412227.90058,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1986,1336102025.27763,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1985,1045712789.14884,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1984,1051134008.78979,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1983,1095348199.43911,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1982,1267778670.35902,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1981,1291120188.43104,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1980,1405251846.54048,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1979,1186231019.82044,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1978,928843469.431727,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1977,750049778.84069,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1976,698408261.922237,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1975,676870140.341529,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1974,554654860.702577,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1973,504376074.185709,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1972,410331856.991218,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1971,335073027.54117,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1970,333627713.494438,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1969,330748244.539574,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1968,326323105.26476,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1967,306221953.104911,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1966,302925235.151997,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1965,289908680.426395,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1964,269819005.87814,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1963,253927697.25805,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1962,236434954.038578,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1961,235668220.508202,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.MKTP.CD,GDP (current US$),BJ,Benin,1960,226195578.434497,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2024,1485.38018980894,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2023,1394.17784663045,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2022,1266.42710981159,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2021,1318.65158107487,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2020,1200.19426631122,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2019,1130.82135339795,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2018,1151.7409703472,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2017,1054.97408066814,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2016,1010.5338961993,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2015,1002.41886879614,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2014,1204.39918670094,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
