0,source_url,table_index,collection_date,Survey,Type,Phase,Recode,Survey Datasets,GPS Datasets,HIV/Other Biomarkers Datasets,SPA Datasets,1,2,3,4,Nom du fichier,Taille,Date,Lun,Mar,Mer,Jeu,Ven,Sam,Dim
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_au_2T2022.pdf,780.42 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,2023,2023,2023.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,Synthese des CNT_2023T1.xlsx,21.46 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_au_1T2023.pdf,600.65 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_4T2023.pdf,411.45 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_3T2023.pdf,598.6 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_2T2023.pdf,620.93 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,2024,2024,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,Synthese des CNT_2024T1.pdf,170.76 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_3T2024.pdf,742.58 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_2T2024.pdf,762.57 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,2,2025-09-22,,,,,,,,,,,,,INStaD_Note_CNT_1T2024.pdf,382.52 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,3,2025-09-22,,,,,,,,,,,,,Publication IPPI_T2-2025.pdf,358.09 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,3,2025-09-22,,,,,,,,,,,,,Publication IPPI_T1-2025.pdf,354.07 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,2019,2019,2019.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication_IPPI_Provisoire_T4_2019.pdf,355.53 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,2020,2020,2020.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T4-2020 nv.docx,160.45 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T3_&_T4-2020 nv.pdf,532.04 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T2-2020.pdf,481.71 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T2-2020 nv.pdf,480.06 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T1-2020 nv.pdf,467.8 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,2021,2021,2021.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T3-2021.pdf,651.13 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T3-2021.docx,196.01 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T4-2021.pdf,649.56 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T4-2021.docx,219.49 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T2-2021.pdf,643.88 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T2-2021.docx,193.99 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T1-2021.pdf,559.59 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI Provisoire actualisé T1-2021.docx,128.07 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,2022,2022,2022.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T4-2022.pdf,692.85 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T3-2022.pdf,562.73 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T2_2022....pdf,697.71 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T2-2022.docx,226.75 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_Provisoire_actualisé_T1-2022.pdf,666.94 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,2023,2023,2023.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T4-2023.pdf,458.9 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T3-2023.pdf,454.29 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T2-2023.pdf,450.57 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T1-2023.pdf,446.46 KB,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,2024,2024,2024.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T4-2024.pdf,472.38 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T3-2024.pdf,469.01 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T2-2024.pdf,468.46 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-trimestrielles,4,2025-09-22,,,,,,,,,,,,,Publication IPPI_T1-2024.pdf,463.46 KB,2025.0,,,,,,,
,https://instad.bj/publications/publications-mensuelles,0,2025-09-22,,,,,,,,,,,English (United Kingdom)Français (France),Veuillez activer le javascript sur cette page pour pouvoir valider le formulaire,,,,,,,,,,
,https://instad.bj/publications/publications-mensuelles,1,2025-09-22,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0
,https://instad.bj/publications/publications-mensuelles,1,2025-09-22,,,,,,,,,,,,,,,,8.0,9.0,10.0,11.0,12.0,13.0,14.0
,https://instad.bj/publications/publications-mensuelles,1,2025-09-22,,,,,,,,,,,,,,,,15.0,16.0,17.0,18.0,19.0,20.0,21.0
,https://instad.bj/publications/publications-mensuelles,1,2025-09-22,,,,,,,,,,,,,,,,22.0,23.0,24.0,25.0,26.0,27.0,28.0
,https://instad.bj/publications/publications-mensuelles,1,2025-09-22,,,,,,,,,,,,,,,,29.0,30.0,,,,,
,https://instad.bj/publications/publications-mensuelles,2,2025-09-22,,,,,,,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0
,https://instad.bj/publications/publications-mensuelles,2,2025-09-22,,,,,,,,,,,,,,,,8.0,9.0,10.0,11.0,12.0,13.0,14.0
,https://instad.bj/publications/publications-mensuelles,2,2025-09-22,,,,,,,,,,,,,,,,15.0,16.0,17.0,18.0,19.0,20.0,21.0
,https://instad.bj/publications/publications-mensuelles,2,2025-09-22,,,,,,,,,,,,,,,,22.0,23.0,24.0,25.0,26.0,27.0,28.0
,https://instad.bj/publications/publications-mensuelles,2,2025-09-22,,,,,,,,,,,,,,,,29.0,30.0,,,,,
